Component;Scenario 001;Scenario 002;Scenario 003;Scenario 004;Scenario 005;Scenario 006;Scenario 007;Scenario 008;Scenario 009;Scenario 010;Scenario 011;Scenario 012;Scenario 013
AW;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Battery;2293,867587901195;1957,4814365737109;5000,0;5000,0;5000,0;5000,0;5000,0;5000,0;5000,0;5000,0;5000,0;5000,0;5000,0
BioTransformer;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Biogas- BHKW;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843818;120,82130151843806
Biogas_feedin_existing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Biogas_feedin_new;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Biomasse_elec;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Biomasse_elec_heat;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,058092442072831;4,058092442072831;4,058092442072831;4,058092442072831;4,058092442072831
Biomasse_heat;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BtL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Electric boiler;279,8823953327587;1050,4115850637338;788,2144523008667;788,2144523008669;816,9983041606959;880,3634684448022;880,3634684448017;880,363468444802;799,1205508312423;799,120550831238;799,1205508312373;799,1205508312408;799,1205508312331
Electrolysis;308,0;308,0;308,00000000000006;308,0;308,0;308,0;308,0;308,0;308,0;308,0;308,0;308,0;308,0
Fuelcell;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gas_storage;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GuD;444,5;338,74881314376233;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5;444,5
H2_storage;0,0;0,0;1,1532460558809865e-10;0,0;0,0;1,434443060176945e-12;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heat storage_dist_heat;94341,73872230724;77558,12310818161;141994,41913574244;141994,41913574265;145770,4420669352;129749,60870111948;129749,60870111927;129749,60870111948;123666,8023019162;123666,80230191625;123666,80230191554;123666,80230191737;123666,80230191344
Heat storage_seasonal;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heatpump_air;55,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heatpump_recovery_heat;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heatpump_water;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Hydro power plant;31,0;31,0;31,0;31,0;31,0;31,0;31,0;31,0;31,0;31,0;31,0;31,0;31,0
Hydrogen_feedin;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Hös<->HS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_Electricity;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_Gas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_Hydrogen;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_Oil;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_Synthetic_fuel;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_Wood;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_brown_coal;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Import_hard_coal;47,3449695904205;47,3449695904205;47,3449695904205;70,06570340456763;70,06570340456763;60,83523835108777;60,83523835108777;60,83523835108777;60,83523835108777;60,83523835108777;60,83523835108777;60,83523835108777;60,83523835108777
Import_solid_fuel;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Methanisation;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PV_open_east;965,352378411947;1111,2546813699994;502,73168791747185;502,731687917468;3575,885935892337;486,54999051949915;486,5499905195004;486,54999051949915;423,9704479050617;423,97044790506806;423,97044790506806;423,97044790485836;423,97044790484864
PV_open_middle;0,0;1137,9431499665804;365,0822088601511;365,0822088601506;1151,2316556026751;369,11451765825643;369,1145176582615;369,11451765825643;353,59715414944475;353,5971541494348;353,5971541494361;353,59715414963006;353,59715414963915
PV_open_north;1519,5724933106073;839,4185389723888;1840,1162775865814;1840,1162775865862;0,0;1882,9963875059289;1882,9963875059182;1882,9963875059289;1845,250217023905;1845,2502170239509;1845,2502170239502;1845,2502170228;1845,2502170227403
PV_open_swest;2244,1720891181626;1640,4805947377472;2021,1667185497931;2021,1667185497922;0,0;1990,4359899759118;1990,4359899759218;1990,4359899759118;1959,1109848724443;1959,110984872436;1959,1109848724334;1959,1109848727517;1959,1109848727679
PV_rooftop_east;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PV_rooftop_middle;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PV_rooftop_north;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PV_rooftop_swest;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Preheater- Electric boiler;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Preheater- WP;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pumped_hydro_storage;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;2304,0;1252,0
Pumped_hydro_storage_Goldistal;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1052,0
ST;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UW;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Wind_east;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0;1820,0
Wind_middle;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0;1640,0
Wind_north;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0;1210,0
Wind_swest;900,0;900,0;900,0;900,0;900,0;900,0;900,0;900,0;900,0;900,0;900,0;900,0;900,0
