;('Electrolysis_s', 'Hydrogen_s');('H2_storage_s', 'Hydrogen_s');('Hydrogen_s', 'Export_Hydrogen_s');('Hydrogen_s', 'Fuelcell_s');('Hydrogen_s', 'H2_storage_s');('Hydrogen_s', 'Hydrogen_demand_total_s');('Hydrogen_s', 'Hydrogen_feedin_s');('Hydrogen_s', 'Methanisation_s');('Hydrogen_s', 'PtL_s');('Hydrogen_s', 'excess_b_H2_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;277,85;0,0;277,85;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 01:00:00;232,7;0,0;232,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 02:00:00;206,9;0,0;206,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 03:00:00;219,49;0,0;219,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 04:00:00;210,76;0,0;210,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 05:00:00;227,76;0,0;227,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 06:00:00;198,25;0,0;198,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 07:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 08:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 09:00:00;209,14;0,0;209,14;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 10:00:00;124,88;0,0;124,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 11:00:00;104,36;0,0;104,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 12:00:00;199,31;0,0;199,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 13:00:00;308,0;0,0;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 14:00:00;308,0;0,0;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 15:00:00;308,0;0,0;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 16:00:00;308,0;0,0;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 17:00:00;308,0;0,0;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 18:00:00;146,78;0,0;146,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 19:00:00;83,44;0,0;83,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 20:00:00;113,13;0,0;113,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 21:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 22:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 23:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-02 00:00:00;257,58;0,0;257,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0
