Component,Peak Flow (MW),Peak Flow (MW)
,REF-01,REF-02
AW,0.0,0.0
Battery,218.45544300109097,1.1368683772161603e-12
BioTransformer,780.0517391712743,780.0517391712743
Biogas- BHKW,0.0,0.0
Biogas_feedin_existing,125.44550010682053,138.47031497529107
Biogas_feedin_new,0.0,0.0
Biomasse_elec,0.0,0.0
Biomasse_elec_heat,116.05088726312493,36.61101903364867
Biomasse_heat,0.0,0.0
BtL_Holz,184.25969878896885,218.47910289725954
BtL_substrat,305.7476741341045,271.52826984189574
Electric boiler,3683.1135121737702,3921.5214388148315
Electrolysis,1678.850242776059,1700.786399526052
Fuelcell,0.0,0.0
Gas_storage,288.2757442622219,438.42702047682366
GuD,0.0,0.0
H2_storage,841.4784844848132,856.9271310420409
Heat storage_dist_heat,329.11971242036964,311.3979788971285
Heat storage_seasonal,316.9897521177007,331.7096785867473
Heatpump_air,171.1808728466375,248.31856481346668
Heatpump_recovery_heat,0.0,0.0
Heatpump_water,0.0,0.0
Hydro power plant,29.45,29.45
Hös<->HS,4738.83614707026,5002.891418321987
Import_Electricity,4738.83614707026,5002.891418321987
Import_Gas,0.0,0.0
Import_Hydrogen,0.0,0.0
Import_Oil,0.0,0.0
Import_Synthetic_fuel,0.0,0.0
Import_Wood,1384.2143491862107,1319.2361686408253
Import_brown_coal,0.0,0.0
Import_solid_fuel,652.1311615570157,609.8997470568994
Li-Ion_Battery,0.0,0.0
Methanisation,194.82277282911593,244.93528928355676
Natrium_Battery,1047.3458189665646,581.4040775475651
Netzverluste,16857.10691705473,17310.57877763163
PV_open_east,2570.1827583289364,2687.8929049713543
PV_open_middle,4057.599788539226,3737.715482838035
PV_open_north,3058.421260528773,3093.4431628993607
PV_open_swest,2405.6417,2405.6417
PV_rooftop_east,0.0,0.0
PV_rooftop_middle,0.0,0.0
PV_rooftop_north,0.0,0.0
PV_rooftop_swest,0.0,0.0
Preheater- Electric boiler,316.9897521177007,331.7096785867473
Preheater- WP,0.0,0.0
PtL,305.7476741341045,271.52826984189585
Pumped_hydro_storage,0.0,0.0
Pumped_hydro_storage_bestand,297.0,297.0
Pumped_hydro_technology,0.0,0.0
Red-OX_Battery,0.0,0.0
ST,0.0,0.0
UW,0.0,0.0
Umgebungsluft,143.46690376174791,208.11609993521992
Wind_east,944.568512747775,894.0330832970999
Wind_middle,2411.0,2411.0
Wind_north,3321.0,3321.0
Wind_swest,2530.0,2530.0
