Component,Peak Flow (MW),Peak Flow (MW),Peak Flow (MW)
,BP - 2026,BP - 2023,BP - 2021
AW,0.0,0.0,0.0
Battery,250.0,250.0,250.0
BioTransformer,780.0517391712743,780.0517391712743,780.0517391712743
Biogas- BHKW,0.0,0.0,0.0
Biogas_feedin_existing,92.97009013468909,111.28545161552744,251.62984461971007
Biogas_feedin_new,0.0,0.0,0.0
Biomasse_elec,0.0,0.0,0.0
Biomasse_elec_heat,94.69218119087522,88.39594014786333,0.0
Biomasse_heat,0.0,0.0,0.0
BtL_Holz,196.82299931462296,198.7211598873276,233.40717659429117
BtL_substrat,293.1843734245322,291.28621311736686,144.7466698221208
Electric boiler,1361.3481538330318,1738.1162114679369,1104.8714464735017
Electrolysis,2038.010342128819,1960.6677901214027,1175.9947633062266
Fuelcell,0.0,0.0,0.0
Gas_storage,515.5739270634692,491.35027912332214,356.9141725784483
GuD,0.0,0.0,0.0
H2_storage,983.0030547505286,983.0030547505286,405.2620360440305
Heat storage_dist_heat,22.25312494836436,154.7600579344699,25.33893080591206
Heat storage_seasonal,415.62695308751387,380.33522156016846,384.0404544892971
Heatpump_air,318.3214593827842,249.03068962183124,452.2998438685926
Heatpump_recovery_heat,0.0,0.0,0.0
Heatpump_water,0.0,0.0,0.0
Hydro power plant,29.45,29.45,29.45
Hös<->HS,4688.103073881881,5445.63028226918,5347.770181775293
Import_Electricity,4688.103073881881,5445.63028226918,5347.770181775293
Import_Gas,0.0,0.0,0.0
Import_Hydrogen,0.0,0.0,0.0
Import_Oil,0.0,0.0,0.0
Import_Synthetic_fuel,0.0,0.0,111.85352632274328
Import_Wood,1374.0544583060478,1367.1348568388428,1287.4586448110374
Import_brown_coal,0.0,0.0,0.0
Import_solid_fuel,594.2884520727307,611.9377623344684,527.1874549532051
Li-Ion_Battery,0.0,0.0,0.0
Methanisation,518.4979406340635,435.7069550288229,0.0
Natrium_Battery,1186.843378022535,1825.000301552763,1902.1468245226183
Netzverluste,21121.70381987859,20515.454742524875,22555.065845772246
PV_open_east,4471.6923,4471.6923,4471.6923
PV_open_middle,5416.2968,5416.2968,5416.2968
PV_open_north,3632.566575,3632.566575,3632.566575
PV_open_swest,2405.6417,2405.6417,2405.6417
PV_rooftop_east,0.0,0.0,0.0
PV_rooftop_middle,0.0,0.0,781.0259501207616
PV_rooftop_north,0.0,0.0,906.8590048
PV_rooftop_swest,0.0,0.0,1023.1562741399999
Preheater- Electric boiler,415.62695308751387,380.33522156016846,384.0404544892971
Preheater- WP,0.0,0.0,0.0
PtL,293.1843734245322,291.28621311736697,256.60019614486407
Pumped_hydro_storage,0.0,0.0,0.0
Pumped_hydro_storage_bestand,297.0,297.0,297.0
Pumped_hydro_technology,0.0,0.0,0.0
Red-OX_Battery,0.0,0.0,0.0
ST,0.0,0.0,0.0
UW,0.0,0.0,0.0
Umgebungsluft,266.78561348080024,208.71293262831833,379.07306518926663
Wind_east,2432.0,2432.0,2432.0
Wind_middle,2411.0,2411.0,2411.0
Wind_north,3321.0,3321.0,3321.0
Wind_swest,2530.0,2530.0,2530.0
