Component;Scenario 014;Scenario 015
AW;0,0;0,0
Battery;0,0;0,0
BioTransformer;0,0;0,0
Biogas- BHKW;140,95818499886093;140,95818499886093
Biogas_feedin_existing;0,0;0,0
Biogas_feedin_new;0,0;0,0
Biomasse_elec;0,0;0,0
Biomasse_elec_heat;2,029046221036372;2,029046221036372
Biomasse_heat;0,0;0,0
BtL;0,0;0,0
Electric boiler;700,3196674632811;713,9370207226144
Electrolysis;308,0;308,0
Fuelcell;0,0;0,0
Gas_storage;0,0;0,0
GuD;444,5;444,5
H2_storage;0,0;0,0
Heat storage_dist_heat;5029,7799830124495;5422,014644813563
Heat storage_seasonal;1715,0550640914323;465,0608245641289
Heatpump_air;55,0;55,0
Heatpump_recovery_heat;0,0;0,0
Heatpump_water;0,0;0,0
Hydro power plant;31,0;31,0
Hydrogen_feedin;0,0;0,0
Hös<->HS;0,0;0,0
Import_Electricity;0,0;0,0
Import_Gas;0,0;0,0
Import_Hydrogen;0,0;0,0
Import_Oil;0,0;0,0
Import_Synthetic_fuel;0,0;0,0
Import_Wood;0,0;0,0
Import_brown_coal;0,0;0,0
Import_hard_coal;60,83523835108777;60,83523835108777
Import_solid_fuel;0,0;0,0
Methanisation;0,0;0,0
PV_open_east;4740,0;4740,0
PV_open_middle;5221,540701032018;5227,974624799572
PV_open_north;4070,0;4070,0
PV_open_swest;2680,0;2680,0
PV_rooftop_east;0,0;0,0
PV_rooftop_middle;0,0;0,0
PV_rooftop_north;0,0;0,0
PV_rooftop_swest;0,0;0,0
Preheater- Electric boiler;4,621746971425041;1,3359963916897244
Preheater- WP;0,22639428498424033;0,07764711543255538
PtL;0,0;0,0
Pumped_hydro_storage;9360,0;9360,0
Pumped_hydro_storage_Goldistal;1052,0;1052,0
ST;0,0;0,0
UW;0,0;0,0
Wind_east;1820,0;1820,0
Wind_middle;1640,0;1640,0
Wind_north;1210,0;1210,0
Wind_swest;900,0;900,0
