Component;Scenario test_sim
AW;0,0
Battery;0,0
BioTransformer;0,0
Biogas- BHKW;0,014580431556113712
Biogas_feedin_existing;297,0
Biogas_feedin_new;93,01215297636718
Biomasse_elec;0,0
Biomasse_elec_heat;433,06757734558215
Biomasse_heat;0,0
BtL;0,0
Busse_Batterie;0,0
Busse_Verbrenner;0,0
Electric boiler;0,0
Electrolysis;0,0
Elektogeräte_GHD;0,0
Elektogeräte_HH;0,0
Elektogeräte_ind;0,0
Festbrennstoffkessel_1_PW_ind;0,0
Festbrennstoffkessel_1_RW_ind;0,0
Festbrennstoffkessel_PW_ghd;0,0
Festbrennstoffkessel_PW_ind;0,0
Festbrennstoffkessel_RW_HH;0,0
Festbrennstoffkessel_RW_ghd;0,0
Festbrennstoffkessel_RW_ind;0,0
Fuelcell;0,0
Gas_storage;1100000,0
GuD;444,5
H2_storage;0,0
Heat storage_dist_heat;122556,15771866491
Heat storage_seasonal;0,0
Heatpump_air;0,0
Heatpump_recovery_heat;0,0
Heatpump_water;0,0
Heizkessel_H2_PW_ind;0,0
Heizkessel_H2_RW_ind;0,0
Heizkessel_gas_1_PW_ind;0,0
Heizkessel_gas_1_RW_ind;0,0
Heizkessel_gas_PW_ghd;0,0
Heizkessel_gas_PW_ind;0,0
Heizkessel_gas_RW_HH;0,0
Heizkessel_gas_RW_ghd;0,0
Heizkessel_gas_RW_ind;0,0
Heizkessel_oel_PW_ghd;0,0
Heizkessel_oel_RW_HH;0,0
Heizkessel_oel_RW_ghd;0,0
Hydro power plant;31,0
Hös<->HS;0,0
Import_Electricity;0,0
Import_Gas;0,0
Import_Hydrogen;0,0
Import_Oil;0,0
Import_Synthetic_fuel;0,0
Import_Wood;1312,3259919563095
Import_solid_fuel;0,0
Kompressionskaelte_GHD;0,0
Kompressionskaelte_HH;0,0
Kompressionskaelte_ind;0,0
LKW_Batterie;0,0
LKW_H2;0,0
LKW_Verbrenner;0,0
Li-Ion_Battery;0,0
Materialnutzung_biomasse_ind;0,0
Materialnutzung_gas_ind;0,0
Materialnutzung_oel_ind;0,0
Methanisation;0,0
Natrium_Battery;0,0
PKW_Batterie;0,0
PKW_H2;0,0
PKW_Verbrenner;0,0
PKW_Verbrenner CNG;0,0
PV_open_east;4740,0
PV_open_middle;5920,0
PV_open_north;4070,0
PV_open_swest;2680,0
PV_rooftop_east;1680,0
PV_rooftop_middle;1610,0
PV_rooftop_north;1120,0
PV_rooftop_swest;1260,0
Preheater- Electric boiler;0,0
Preheater- WP;0,0
PtH_Erdwaermepumpe_PW_ghd;0,0
PtH_Erdwaermepumpe_PW_ind;0,0
PtH_Erdwaermepumpe_RW_HH;0,0
PtH_Erdwaermepumpe_RW_ghd;0,0
PtH_Erdwaermepumpe_RW_ind;0,0
PtH_Heizstab_PW_ghd;0,0
PtH_Heizstab_PW_ind;0,0
PtH_Heizstab_RW_HH;0,0
PtH_Heizstab_RW_ghd;0,0
PtH_Heizstab_RW_ind;0,0
PtH_Luftwaermepumpe_PW_ghd;0,0
PtH_Luftwaermepumpe_PW_ind;0,0
PtH_Luftwaermepumpe_RW_HH;0,0
PtH_Luftwaermepumpe_RW_ghd;0,0
PtH_Luftwaermepumpe_RW_ind;0,0
PtL;0,0
Pumped_hydro_storage;0,0
Pumped_hydro_storage_bestand;2376,0
Pumped_hydro_technology;0,0
Red-OX_Battery;7586,5741445197
ST;9259257,700809743
ST_RW_HH;0,0
ST_RW_ghd;0,0
ST_RW_ind;0,0
Schiene_Batterie;0,0
Schiene_Batterie_G;0,0
Schiene_Verbrenner;0,0
Schiene_Verbrenner_G;0,0
Sorptionskaelte;0,0
UW;0,0
Umgebungsluft;0,0
Waermeuebergabestation_PW_ghd;0,0
Waermeuebergabestation_PW_ind;0,0
Waermeuebergabestation_RW_HH;0,0
Waermeuebergabestation_RW_ghd;0,0
Waermeuebergabestation_RW_ind;0,0
Wind_east;1990,0
Wind_middle;1973,0
Wind_north;2717,0
Wind_swest;2070,0
emergency_Electricity_GHD;0,0
emergency_Electricity_household;0,0
emergency_Electricity_industry;0,0
emergency_Material_usage_industry;0,0
emergency_Mobility_goods;0,0
emergency_Mobility_people;0,0
emergency_Processheat_GHD;0,0
emergency_Processheat_industry;0,0
emergency_Spacecooling_GHD;0,0
emergency_Spacecooling_household;0,0
emergency_Spacecooling_industry;0,0
emergency_Spaceheatin_GHD;0,0
emergency_Spaceheating_household;0,0
emergency_Spaceheating_industry;0,0
